year	month	day	obs_tmp	 fc_temp
2026	08	03	23	 26
2026	08	01	24	 26
2026	08	02	25	 25
2026	08	04	28	 27
2026	08	05	29	 31
2026	08	04	22	26
2026	08	04		
2026	08	04		
2026	08	04		
2026	08	05		
2026	08	05		
2026	08	05		
2026	08	05		
2026	08	07	+26	30
2026	08	07	+24	30
2026	08	08	+27	33
2026	08	08	+29	30
2026	08	08	47	31
2026	08	08	+34	31
2026	08	08	+27	30
2026	08	08	+26	30
2026	08	09	+23	30
2026	08	09	+30	30
2026	08	09	+34	30
2026	08	09	+35	28
2026	08	09	+29	32
2026	08	09	+26	29
2026	08	10	+25	29
2026	08	10	+30	33
2026	08	10	+35	29
2026	08	10	+35	29
2026	08	10	+29	30
2026	08	10	+27	29
2026	08	11	+27	31
2026	08	11	+30	30
2026	08	11	+35	28
2026	08	11	47	28
2026	08	11	+28	30
2026	08	11	+26	27
2026	08	12	+25	28
2026	08	12	+32	28
2026	08	12	+36	29
2026	08	12	+35	29
2026	08	12	+32	30
2026	08	12	+27	30
2026	08	13	+26	30
2026	08	13	+33	30
2026	08	13	+36	30
2026	08	13	+37	32
2026	08	13	+32	31
2026	08	13	+28	30
